epoch,binary_accuracy,loss,precision_1,val_binary_accuracy,val_loss,val_precision_1
0,0.9581738710403442,0.1108931303024292,0.9557445645332336,0.45120134949684143,1.3715484142303467,0.43692710995674133
1,0.9860225319862366,0.04243149608373642,0.9830405116081238,0.9885179400444031,0.03318646177649498,0.9984654784202576
2,0.9916560649871826,0.025307273492217064,0.9895070791244507,0.9487560987472534,0.14295919239521027,0.9943883419036865
3,0.9930909872055054,0.02228832244873047,0.991454005241394,0.9980863332748413,0.006911979988217354,0.9989989995956421
4,0.9936224222183228,0.019519958645105362,0.9918242692947388,0.9931958317756653,0.020134754478931427,0.9881129264831543
5,0.9948447942733765,0.016280923038721085,0.993408203125,0.9832022190093994,0.06046654284000397,0.9624999761581421
6,0.9960671663284302,0.01216081902384758,0.9947516322135925,0.9987242221832275,0.00509946933016181,0.9990004897117615
7,0.9961203336715698,0.012527301907539368,0.9949938654899597,0.9978737235069275,0.007279946934431791,0.9960179328918457
8,0.9960140585899353,0.010603463277220726,0.9957191944122314,0.9948968887329102,0.015231083147227764,0.9896091222763062
9,0.996279776096344,0.010503874160349369,0.9959642887115479,0.9836274981498718,0.048834796994924545,0.9629807472229004
10,0.9963328838348389,0.011029893532395363,0.9949963092803955,0.9953221082687378,0.013471854850649834,0.9891358017921448
11,0.9971832633018494,0.008879897184669971,0.9963361024856567,0.995959997177124,0.01113045122474432,0.9920634627342224
12,0.9977146983146667,0.007792346179485321,0.9965828657150269,0.9978737235069275,0.006173453293740749,0.996512234210968
13,0.9980335831642151,0.00763924652710557,0.997556209564209,0.9891558289527893,0.03327111527323723,0.975170373916626
14,0.9972895383834839,0.00882683228701353,0.9963369965553284,0.9974484443664551,0.006990610156208277,0.9950273633003235
15,0.9987244606018066,0.003938682842999697,0.9982895255088806,0.9976610541343689,0.008507943712174892,1.0
16,0.9973427057266235,0.007728343829512596,0.9964586496353149,0.9972358345985413,0.007681998889893293,0.9950248599052429
17,0.9977146983146667,0.009387780912220478,0.9974327683448792,0.9985116124153137,0.003181908279657364,0.999499499797821
18,0.998458743095398,0.006929729133844376,0.9980449676513672,0.9987242221832275,0.0048846350982785225,0.998502254486084
19,0.9985650777816772,0.005554243456572294,0.9982889294624329,0.9897937774658203,0.033216074109077454,1.0
20,0.9982461929321289,0.006653985008597374,0.9978005886077881,0.9955347776412964,0.013062959536910057,0.9896245002746582
21,0.9985119104385376,0.005288093816488981,0.9976803660392761,0.9987242221832275,0.003825967665761709,0.997508704662323
22,0.9982461929321289,0.006807534024119377,0.9979222416877747,0.9987242221832275,0.0043723611161112785,0.998502254486084
23,0.9989370703697205,0.0043006218038499355,0.9988996386528015,0.9972358345985413,0.010300694964826107,0.9940416812896729
24,0.9982993006706238,0.006545770447701216,0.9979225397109985,0.9974484443664551,0.008508354425430298,0.9960139393806458
